Навык,Количество,Процент
marketplace,1,0.02%
Интернет-проекты,1,0.02%
Кредиты для бизнеса,1,0.02%
Организация и контроль работы персонала,1,0.02%
Пожарная безопасность,1,0.02%
Охрана труда,1,0.02%
Промышленная безопасность,1,0.02%
Начинающий специалист,1,0.02%
Управление персоналом,1,0.02%
Маркетинг,1,0.02%
Маркетплейсы,1,0.02%
Организация бизнес-процессов,1,0.02%
Управление по целям,1,0.02%
Пользователь ПК,1,0.02%
C#,1,0.02%
1С: Комплексная автоматизация 8,1,0.02%
1C: WMS,1,0.02%
ФСТЭК,1,0.02%
User Story Mapping,1,0.02%
USM,1,0.02%
Hadoop,1,0.02%
PySpark,1,0.02%
Moodle,1,0.02%
FMCG Продажи,1,0.02%
Key Account Management,1,0.02%
Федеральные сети,1,0.02%
Современная розница,1,0.02%
Разработка трейд-маркетинговой стратегии,1,0.02%
Проведение промо акций,1,0.02%
Торговый маркетинг,1,0.02%
Оценка эффективности промо акций,1,0.02%
Анализ продаж,1,0.02%
Трейд-маркетинговая стратегия,1,0.02%
Статистический анализ,1,0.02%
NamPy,1,0.02%
pandas,1,0.02%
TensorPT,1,0.02%
крупный бизнес,1,0.02%
структурирование сделки,1,0.02%
кредитная экспертиза,1,0.02%
Опытный пользователь ПК,1,0.02%
CX-исследования,1,0.02%
Сервис-дизайн,1,0.02%
Kubernetes,1,0.02%
Salesforce,1,0.02%
OKR,1,0.02%
Постановка целей по SMART,1,0.02%
ICE,1,0.02%
SWOT,1,0.02%
Lean,1,0.02%
SSIS,1,0.02%
SSRS,1,0.02%
SSAS,1,0.02%
PowerBI,1,0.02%
Обучаемость,1,0.02%
Планирование продаж,1,0.02%
Система мотивации персонала,1,0.02%
Построение воронки продаж,1,0.02%
Разработка скриптов продаж,1,0.02%
Работа с возражениями,1,0.02%
Анализ воронки продаж,1,0.02%
Мотивация сотрудников,1,0.02%
переговоры с первыми лицами компаний,1,0.02%
Расчет заработной платы,1,0.02%
Computer Vision,1,0.02%
OpenCV,1,0.02%
Сопровождение 1С ERP,1,0.02%
Planfix,1,0.02%
Поиск информации в интернет,1,0.02%
Visual Studio,1,0.02%
Gitlab,1,0.02%
Налоговое планирование,1,0.02%
Due dilligence,1,0.02%
Оценка инвестиционных проектов,1,0.02%
Управление налоговыми рисками,1,0.02%
Управление бухгалтерией,1,0.02%
B2C продажи,1,0.02%
Контент-маркетинг,1,0.02%
Контентная стратегия,1,0.02%
Разработка контент-плана,1,0.02%
Умение учиться,1,0.02%
SEO-тексты,1,0.02%
Грамотная устная речь,1,0.02%
WMS системы,1,0.02%
Тестирование ПО,1,0.02%
bitrix,1,0.02%
MS SSRS,1,0.02%
MS SSAS,1,0.02%
MS SSIS,1,0.02%
Разработка поисковых технологий,1,0.02%
Docker,1,0.02%
FTP,1,0.02%
Контроль бюджета,1,0.02%
Продуктовая стратегия,1,0.02%
Qlik View,1,0.02%
Qlik Sense,1,0.02%
1С ERP,1,0.02%
Оптимизация,1,0.02%
