Навык,Количество,Процент
Работа с чертежами,1,0.03%
MS Office Excel,1,0.03%
Искуственный Интеллект,1,0.03%
ML,1,0.03%
Маркетинговый анализ,1,0.03%
Google Analytics,1,0.03%
Minimum Loveable Product,1,0.03%
Работа с подрядчиками,1,0.03%
Финансовая отчетность,1,0.03%
Архивирование,1,0.03%
"MS Office (Word, Excel, PowerPoint)",1,0.03%
Достижение целей,1,0.03%
IATF 16949,1,0.03%
Автомобильная промышленность,1,0.03%
Делопроизводство MS Office,1,0.03%
Web3,1,0.03%
проектные продажи,1,0.03%
IDEF,1,0.03%
Организация конференций,1,0.03%
• Готовность к самообразованию и изучению новых технологий и методов работы,1,0.03%
• Ведение документации,1,0.03%
• Чтение чертежей,1,0.03%
• Умение работать в команде,1,0.03%
Умение общаться с клиентами,1,0.03%
Производственный контроль,1,0.03%
Git,1,0.03%
Оперативное принятие решений,1,0.03%
планировать и оптимально организовать рабочий процесс,1,0.03%
принимать решения и за их результаты отвечать самостоятельно,1,0.03%
Отопление,1,0.03%
Сборочное производство,1,0.03%
Анализ бизнес-процессов,1,0.03%
Согласование графиков работ,1,0.03%
Нацеленность на результат,1,0.03%
Синтека,1,0.03%
Позитивное мышление,1,0.03%
Работа с оргтехникой,1,0.03%
Умение быстро усваивать новую информацию,1,0.03%
Подготовка документации к архивированию,1,0.03%
44ФЗ,1,0.03%
223ФЗ,1,0.03%
Тендерное сопровождение,1,0.03%
Адаптивность,1,0.03%
SQL,1,0.03%
Веб-аналитика,1,0.03%
Маркетинговое планирование,1,0.03%
Маркетинговый аудит,1,0.03%
Разработка маркетинговых кампаний,1,0.03%
B2G,1,0.03%
B2B,1,0.03%
Инициативность,1,0.03%
Системность,1,0.03%
"Умение находить общий язык с линейным персоналом, чтение чертежей, пунктуальность и собранность",1,0.03%
B2B маркетинг,1,0.03%
B2C маркетинг,1,0.03%
"Опытный пользователь ПК, знание MS Office",1,0.03%
Мониторинг рынка,1,0.03%
Навыки планирования,1,0.03%
JTBD,1,0.03%
CX-исследования,1,0.03%
Primavera,1,0.03%
руководство строительством,1,0.03%
Первичное обследование,1,0.03%
1С: ERP,1,0.03%
ERP,1,0.03%
1С: Производство,1,0.03%
PM,1,0.03%
компрессоры,1,0.03%
насосы,1,0.03%
проектный менеджер,1,0.03%
Инвестиции,1,0.03%
навыки принятия решений,1,0.03%
Творческое мышление,1,0.03%
Сервис-дизайн,1,0.03%
Работа с инвесторами,1,0.03%
project manager,1,0.03%
Составление отчетности,1,0.03%
ИТ-инфраструктура,1,0.03%
Виртуализация,1,0.03%
Storage,1,0.03%
Мотивация,1,0.03%
ChatGPT,1,0.03%
Урегулирование конфликтов,1,0.03%
технологическое оборудование,1,0.03%
ЗИФ,1,0.03%
ГОК,1,0.03%
Отделка помещений,1,0.03%
Unit-экономика,1,0.03%
Полиграфия,1,0.03%
